Country,Source,source_type,count_nat,total_nat,percentage_nat,count_res,total_res,percentage_res
--,Australia,Nationality,43.0,563.0,7.63765541740675,,,
--,Australia,Residence,,,,26.0,563.0,4.618117229129663
--,Austria,Nationality,19.0,563.0,3.374777975133215,,,
--,Bosnia and Herzegovina,Nationality,11.0,563.0,1.9538188277087036,,,
--,Bosnia and Herzegovina,Residence,,,,11.0,563.0,1.9538188277087036
--,Brazil,Nationality,10.0,563.0,1.7761989342806392,,,
--,Brazil,Residence,,,,10.0,563.0,1.7761989342806392
--,Bulgaria,Nationality,11.0,563.0,1.9538188277087036,,,
--,Bulgaria,Residence,,,,11.0,563.0,1.9538188277087036
--,Canada,Nationality,18.0,563.0,3.197158081705151,,,
--,Canada,Residence,,,,6.0,563.0,1.0657193605683837
--,China,Residence,,,,7.0,563.0,1.2433392539964476
--,Finland,Nationality,7.0,563.0,1.2433392539964476,,,
--,Finland,Residence,,,,7.0,563.0,1.2433392539964476
--,France,Residence,,,,19.0,563.0,3.374777975133215
--,Germany,Nationality,30.0,563.0,5.328596802841918,,,
--,Germany,Residence,,,,30.0,563.0,5.328596802841918
--,Ghana,Residence,,,,4.0,563.0,0.7104795737122558
--,Ireland,Nationality,9.0,563.0,1.5985790408525755,,,
--,Ireland,Residence,,,,9.0,563.0,1.5985790408525755
--,Israel,Nationality,18.0,563.0,3.197158081705151,,,
--,Israel,Residence,,,,16.0,563.0,2.841918294849023
--,Italy,Nationality,4.0,563.0,0.7104795737122558,,,
--,Italy,Residence,,,,4.0,563.0,0.7104795737122558
--,"Korea, South",Nationality,11.0,563.0,1.9538188277087036,,,
--,"Korea, South",Residence,,,,11.0,563.0,1.9538188277087036
--,Netherlands,Nationality,29.0,563.0,5.150976909413854,,,
--,Netherlands,Residence,,,,13.0,563.0,2.3090586145648313
--,Poland,Nationality,9.0,563.0,1.5985790408525755,,,
--,Poland,Residence,,,,9.0,563.0,1.5985790408525755
