Country,ISO3,WCI,Population,GDP,WCI_per_capita,WCI_per_GDP
Russia,RUS,58.391304347826086,144373535.0,1699876578871.0,4.0444603886596035e-07,3.435031994299704e-11
Ukraine,UKR,36.442028985507235,44385155.0,153781069118.0,8.210409310389304e-07,2.3697344019337237e-10
China,CHN,27.86231884057971,1397715000.0,19910000000000.0,1.9934191763399342e-08,1.3994133018874792e-12
United States,USA,25.00724637681159,328239523.0,21427700000000.0,7.618596977065309e-08,1.1670522910443767e-12
Nigeria,NGA,21.282608695652176,200963599.0,448120428859.0,1.0590280429667352e-07,4.7493056163142915e-11
Romania,ROU,14.826086956521738,19356544.0,250077444017.0,7.6594700771593e-07,5.928598244755683e-11
"Korea, North",,10.405797101449275,,,,
United Kingdom,GBR,9.01449275362319,66834405.0,2827113184696.0,1.3487802806987193e-07,3.188585728516745e-12
Brazil,BRA,8.934782608695652,212559417.0,1839758040766.0,4.203428262458799e-08,4.856498740984208e-12
India,IND,6.130434782608695,1366417754.0,2611000000000.0,4.486501119194837e-09,2.3479259987011473e-12
Iran,IRN,4.77536231884058,82913906.0,445345282123.0,5.759422694234885e-08,1.072283127391854e-11
Ghana,GHA,3.579710144927536,30792608.0,66983634224.0,1.1625225589620522e-07,5.3441563546054036e-11
South Africa,ZAF,2.579710144927536,58558270.0,351431649241.0,4.4053728788906097e-08,7.340574335006629e-12
Moldova,MDA,2.565217391304349,2657637.0,11955435457.0,9.652248938829303e-07,2.1456494834760657e-10
Israel,ISR,2.5072463768115942,9053300.0,395098666122.0,2.769428138702566e-07,6.345874060828637e-12
Poland,POL,2.217391304347826,37970874.0,592164400688.0,5.839716263438725e-08,3.744553542515513e-12
Netherlands,NLD,1.920289855072464,17332850.0,909070395161.0,1.1078904248709612e-07,2.11236650681202e-12
Latvia,LVA,1.6811594202898554,1912789.0,34117202555.0,8.789047931004703e-07,4.927600431423635e-11
Vietnam,VNM,1.5942028985507248,96462106.0,261921244843.0,1.6526727070946645e-08,6.0865734641201665e-12
Malaysia,MYS,1.326086956521739,32447385.0,364701517788.0,4.08688390920174e-08,3.636088395147809e-12
France,FRA,1.1666666666666667,67059887.0,2715518274227.0,1.739738491755387e-08,4.2962946621995036e-13
Bulgaria,BGR,1.072463768115942,6975761.0,86000000000.0,1.5374147252406468e-07,1.247050893158072e-11
Afghanistan,AFG,,38041754.0,19101353833.0,,
Algeria,DZA,,43053054.0,169988236398.0,,
Angola,AGO,,31825295.0,94635415870.0,,
Argentina,ARG,,44938712.0,449663446954.0,,
